"Tree","MDI_1","p_1","MDI_2","p_2","MDI_3","p_3","MDI_4","p_4","MDI_5","p_5","MDI_6","p_6","MDI_7","p_7","MDI_8","p_8","MDI_9","p_9","MDI_10","p_10","MDI_11","p_11","MDI_12","p_12","MDI_13","p_13","MDI_14","p_14","MDI_15","p_15","MDI_16","p_16","MDI_17","p_17","MDI_18","p_18","MDI_19","p_19"
917,0.098,0.723,0.196,0.908,0.444,1,0.308,0.991,0.233,0.945,0.093,0.713,0.235,0.956,0.183,0.887,0.083,0.673,0.193,0.896,0.076,0.671,0.004,0.486,0.083,0.706,0.035,0.565,0.521,0.999,0.07,0.665,0.028,0.541,0.043,0.585,0.054,0.615
918,-0.082,0.25,0.166,0.861,0.35,0.995,0.21,0.927,0.149,0.852,-0.062,0.308,0.156,0.857,0.048,0.604,-0.087,0.234,0.052,0.625,-0.098,0.216,-0.137,0.122,-0.044,0.353,-0.125,0.15,0.394,1,-0.06,0.305,-0.132,0.14,-0.065,0.299,-0.127,0.167
919,0.136,0.847,0.195,0.924,0.557,1,0.325,0.995,0.269,0.966,0.12,0.83,0.218,0.957,0.229,0.965,0.115,0.803,0.232,0.957,0.121,0.795,0.053,0.646,0.136,0.826,0.09,0.745,0.568,1,0.115,0.783,0.084,0.74,0.109,0.79,0.095,0.741
920,-0.07,0.302,0.151,0.819,0.325,0.976,0.228,0.917,0.122,0.749,-0.029,0.408,0.169,0.839,0.034,0.549,-0.063,0.318,0.041,0.578,-0.066,0.318,-0.123,0.183,-0.05,0.354,-0.103,0.22,0.366,0.992,-0.066,0.308,-0.097,0.239,-0.059,0.309,-0.089,0.234
921,-0.078,0.26,0.107,0.75,0.408,1,0.27,0.97,0.086,0.69,-0.03,0.387,0.185,0.889,0.034,0.56,-0.06,0.298,0.041,0.556,-0.066,0.269,-0.135,0.15,-0.044,0.343,-0.106,0.189,0.422,0.998,-0.061,0.289,-0.106,0.205,-0.066,0.284,-0.085,0.241
922,0.055,0.625,0.231,0.924,0.416,0.999,0.306,0.982,0.28,0.971,0.041,0.595,0.234,0.952,0.197,0.898,0.019,0.541,0.194,0.909,0.013,0.512,-0.037,0.378,0.046,0.602,-0.02,0.434,0.491,1,0.029,0.551,-0.028,0.41,0.033,0.575,-0.02,0.429
923,0.073,0.681,0.238,0.972,0.723,1,0.399,1,0.301,0.985,0.06,0.654,0.283,0.987,0.238,0.969,0.043,0.614,0.227,0.95,0.044,0.599,0.006,0.479,0.112,0.804,0.052,0.623,0.648,1,0.095,0.758,0.054,0.623,0.115,0.789,0.042,0.601
924,-0.002,0.468,0.204,0.856,0.412,0.997,0.286,0.96,0.162,0.82,0.06,0.613,0.223,0.908,0.096,0.699,0.014,0.507,0.093,0.715,0,0.483,-0.085,0.273,-0.002,0.479,-0.057,0.346,0.448,0.998,-0.017,0.438,-0.057,0.336,0.005,0.5,-0.05,0.363
925,0.066,0.642,0.198,0.878,0.512,1,0.327,0.972,0.211,0.883,0.091,0.684,0.242,0.922,0.165,0.828,0.068,0.626,0.174,0.838,0.054,0.616,-0.031,0.403,0.066,0.644,0.004,0.482,0.546,0.998,0.049,0.592,-0.005,0.457,0.062,0.635,0.006,0.476
926,-0.005,0.471,0.208,0.888,0.472,0.999,0.286,0.948,0.197,0.883,0.018,0.529,0.241,0.919,0.116,0.748,-0.014,0.437,0.13,0.733,-0.024,0.416,-0.096,0.274,0.017,0.515,-0.06,0.337,0.51,1,-0.01,0.444,-0.07,0.305,-0.002,0.471,-0.05,0.372
927,0.029,0.557,0.198,0.906,0.445,1,0.277,0.978,0.225,0.946,0.034,0.557,0.221,0.936,0.139,0.806,0.01,0.503,0.15,0.828,0.011,0.514,-0.093,0.263,-0.01,0.459,-0.058,0.335,0.442,1,-0.028,0.405,-0.06,0.341,-0.001,0.463,-0.057,0.34
