"Tree","MDI_1","p_1","MDI_2","p_2","MDI_3","p_3","MDI_4","p_4","MDI_5","p_5","MDI_6","p_6","MDI_7","p_7","MDI_8","p_8","MDI_9","p_9","MDI_10","p_10","MDI_11","p_11","MDI_12","p_12","MDI_13","p_13","MDI_14","p_14","MDI_15","p_15","MDI_16","p_16","MDI_17","p_17","MDI_18","p_18","MDI_19","p_19"
471,-0.045,0.357,0.163,0.818,0.387,0.989,0.278,0.936,0.142,0.776,0.005,0.494,0.223,0.881,0.069,0.617,-0.049,0.368,0.065,0.624,-0.066,0.335,-0.127,0.18,-0.036,0.384,-0.088,0.277,0.438,0.995,-0.053,0.369,-0.104,0.248,-0.027,0.422,-0.083,0.271
472,0,0.475,0.181,0.878,0.414,0.997,0.283,0.971,0.187,0.892,0.03,0.554,0.218,0.914,0.111,0.76,-0.016,0.438,0.109,0.753,-0.018,0.42,-0.109,0.198,-0.018,0.428,-0.051,0.334,0.422,0.998,-0.042,0.357,-0.078,0.271,-0.035,0.372,-0.068,0.301
473,-0.015,0.422,0.152,0.867,0.438,0.999,0.293,0.978,0.131,0.779,0.02,0.533,0.203,0.923,0.082,0.7,-0.013,0.449,0.078,0.685,-0.022,0.395,-0.117,0.156,-0.027,0.407,-0.067,0.288,0.43,0.998,-0.064,0.283,-0.075,0.259,-0.034,0.391,-0.079,0.243
474,-0.023,0.4,0.179,0.876,0.375,0.997,0.284,0.978,0.14,0.783,0.047,0.587,0.225,0.924,0.057,0.618,0.005,0.48,0.058,0.628,-0.006,0.455,-0.057,0.326,0.005,0.488,-0.018,0.429,0.399,0.995,0.003,0.48,-0.029,0.402,-0.003,0.479,-0.023,0.421
475,-0.007,0.467,0.227,0.888,0.56,1,0.329,0.964,0.171,0.832,0.033,0.561,0.256,0.929,0.099,0.707,-0.006,0.464,0.119,0.739,-0.025,0.423,-0.087,0.278,0.01,0.496,-0.044,0.379,0.543,0.999,-0.003,0.467,-0.05,0.362,0.011,0.5,-0.069,0.327
476,0.035,0.566,0.264,0.954,0.595,1,0.387,0.995,0.289,0.962,0.064,0.621,0.307,0.982,0.205,0.89,0.015,0.502,0.206,0.878,0.017,0.516,-0.044,0.343,0.075,0.666,0.002,0.486,0.64,1,0.041,0.574,-0.016,0.442,0.061,0.637,-0.01,0.457
477,-0.008,0.448,0.224,0.932,0.568,1,0.37,0.996,0.222,0.926,0.006,0.499,0.277,0.977,0.137,0.802,-0.024,0.395,0.144,0.826,-0.045,0.355,-0.086,0.252,0.016,0.513,-0.036,0.375,0.564,1,-0.006,0.465,-0.041,0.349,0.012,0.497,-0.037,0.373
478,0.053,0.627,0.251,0.962,0.446,1,0.31,0.985,0.286,0.985,0.04,0.588,0.261,0.959,0.197,0.905,0.024,0.542,0.189,0.894,0.016,0.525,-0.045,0.359,0.048,0.619,-0.009,0.444,0.488,0.999,0.022,0.533,-0.015,0.444,0.047,0.599,-0.019,0.408
479,0.052,0.605,0.234,0.918,0.522,0.997,0.353,0.986,0.256,0.928,0.07,0.654,0.282,0.948,0.175,0.835,0.049,0.593,0.185,0.866,0.035,0.564,-0.044,0.352,0.057,0.611,-0.017,0.44,0.587,1,0.039,0.569,-0.026,0.416,0.052,0.611,-0.014,0.445
480,0.113,0.719,0.276,0.945,0.759,1,0.47,0.998,0.347,0.988,0.124,0.757,0.359,0.988,0.281,0.958,0.09,0.696,0.283,0.951,0.082,0.676,-0.033,0.401,0.099,0.697,0.021,0.535,0.714,1,0.051,0.603,0.005,0.493,0.078,0.68,0.012,0.507
481,-0.034,0.383,0.193,0.877,0.453,1,0.318,0.981,0.143,0.819,0.025,0.538,0.263,0.954,0.079,0.674,-0.022,0.406,0.074,0.663,-0.037,0.369,-0.11,0.2,0.006,0.49,-0.075,0.271,0.491,1,-0.025,0.404,-0.084,0.256,-0.011,0.448,-0.064,0.303
482,0.029,0.55,0.204,0.89,0.674,1,0.382,0.991,0.23,0.906,0.069,0.643,0.275,0.948,0.17,0.847,0.039,0.567,0.176,0.831,0.035,0.551,-0.044,0.365,0.085,0.684,0,0.463,0.659,1,0.032,0.547,-0.023,0.412,0.052,0.587,-0.012,0.439
483,-0.034,0.386,0.168,0.853,0.481,1,0.329,0.987,0.17,0.852,0.012,0.51,0.239,0.94,0.1,0.724,-0.027,0.399,0.109,0.732,-0.041,0.369,-0.095,0.233,0.007,0.492,-0.071,0.289,0.539,1,-0.017,0.427,-0.079,0.297,-0.029,0.393,-0.062,0.306
484,0.017,0.514,0.244,0.931,0.465,0.999,0.333,0.995,0.244,0.939,0.05,0.585,0.286,0.963,0.139,0.802,0.012,0.501,0.141,0.788,0.009,0.506,-0.05,0.34,0.014,0.509,-0.015,0.44,0.489,1,0.009,0.504,-0.031,0.398,0.001,0.481,-0.017,0.442
485,-0.049,0.359,0.184,0.852,0.408,0.999,0.304,0.971,0.128,0.779,0.04,0.585,0.235,0.929,0.064,0.645,-0.018,0.441,0.061,0.617,-0.024,0.42,-0.101,0.235,-0.03,0.406,-0.055,0.311,0.422,0.999,-0.038,0.379,-0.066,0.305,-0.032,0.391,-0.074,0.289
486,0.127,0.766,0.235,0.906,0.652,1,0.403,0.994,0.288,0.958,0.131,0.769,0.301,0.966,0.251,0.918,0.112,0.749,0.26,0.94,0.107,0.715,0.003,0.492,0.103,0.699,0.066,0.632,0.604,1,0.074,0.661,0.052,0.607,0.098,0.671,0.048,0.592
487,0.01,0.487,0.199,0.904,0.562,1,0.357,0.99,0.175,0.881,0.062,0.64,0.259,0.954,0.117,0.763,0.025,0.548,0.115,0.759,0.016,0.512,-0.046,0.359,0.028,0.546,-0.001,0.466,0.536,1,0.007,0.497,-0.002,0.472,0.014,0.511,-0.005,0.458
488,-0.068,0.276,0.153,0.838,0.349,0.991,0.233,0.941,0.133,0.794,-0.041,0.352,0.183,0.885,0.037,0.577,-0.064,0.313,0.049,0.61,-0.079,0.251,-0.123,0.164,-0.059,0.306,-0.092,0.235,0.356,0.997,-0.067,0.3,-0.097,0.232,-0.069,0.291,-0.088,0.235
489,0.037,0.562,0.247,0.891,0.514,0.996,0.334,0.961,0.244,0.889,0.085,0.646,0.268,0.923,0.168,0.794,0.058,0.597,0.173,0.8,0.038,0.554,-0.004,0.47,0.08,0.638,0.012,0.507,0.566,1,0.069,0.627,0.01,0.508,0.08,0.626,0.015,0.513
490,0.033,0.553,0.231,0.919,0.468,0.999,0.351,0.982,0.197,0.885,0.064,0.639,0.274,0.939,0.127,0.755,0.041,0.574,0.131,0.788,0.036,0.562,-0.021,0.425,0.053,0.605,0.017,0.521,0.523,0.998,0.036,0.566,0.003,0.467,0.066,0.638,0.009,0.505
491,-0.023,0.418,0.207,0.905,0.54,1,0.313,0.99,0.193,0.901,-0.004,0.452,0.244,0.958,0.112,0.755,-0.035,0.367,0.119,0.788,-0.044,0.35,-0.115,0.164,-0.016,0.431,-0.077,0.264,0.495,1,-0.047,0.347,-0.081,0.248,-0.027,0.375,-0.077,0.258
492,0.019,0.525,0.237,0.908,0.578,1,0.368,0.989,0.25,0.914,0.013,0.518,0.28,0.941,0.154,0.796,0.004,0.49,0.158,0.798,-0.008,0.462,-0.075,0.304,0.041,0.563,-0.034,0.392,0.576,1,0.011,0.498,-0.052,0.362,0.017,0.511,-0.047,0.37
493,0.054,0.61,0.192,0.845,0.474,1,0.327,0.975,0.203,0.87,0.079,0.649,0.255,0.925,0.167,0.796,0.055,0.605,0.154,0.788,0.041,0.572,-0.042,0.394,0.064,0.618,0.01,0.493,0.532,0.999,0.036,0.538,-0.02,0.43,0.059,0.602,-0.013,0.44
494,0.034,0.581,0.196,0.917,0.451,1,0.321,0.993,0.211,0.944,0.067,0.659,0.246,0.964,0.145,0.858,0.027,0.544,0.153,0.864,0.034,0.576,-0.037,0.355,0.033,0.563,-0.003,0.465,0.478,1,0.023,0.545,-0.008,0.454,0.036,0.574,0.001,0.48
495,-0.037,0.386,0.155,0.836,0.469,1,0.22,0.911,0.151,0.826,-0.021,0.419,0.157,0.815,0.092,0.699,-0.042,0.354,0.087,0.679,-0.053,0.333,-0.121,0.181,-0.018,0.436,-0.101,0.218,0.437,0.999,-0.054,0.324,-0.113,0.212,-0.031,0.382,-0.09,0.26
496,0.012,0.505,0.268,0.941,0.664,1,0.432,0.995,0.299,0.968,0.035,0.565,0.355,0.985,0.21,0.884,-0.002,0.488,0.207,0.901,-0.007,0.458,-0.086,0.269,0.036,0.585,-0.019,0.431,0.623,1,0.002,0.474,-0.034,0.393,0.025,0.539,-0.023,0.426
497,-0.029,0.381,0.135,0.806,0.409,0.999,0.274,0.981,0.133,0.803,-0.006,0.455,0.187,0.899,0.066,0.643,-0.034,0.376,0.081,0.693,-0.023,0.412,-0.114,0.167,-0.045,0.34,-0.079,0.275,0.418,0.999,-0.057,0.309,-0.072,0.275,-0.067,0.29,-0.071,0.293
498,0.031,0.549,0.239,0.928,0.55,1,0.363,0.995,0.238,0.946,0.053,0.605,0.291,0.967,0.149,0.819,0.016,0.511,0.165,0.842,0.016,0.497,-0.042,0.371,0.062,0.629,-0.013,0.434,0.582,1,0.046,0.594,-0.017,0.43,0.044,0.579,-0.003,0.465
499,-0.01,0.458,0.211,0.908,0.382,0.992,0.322,0.987,0.161,0.845,0.058,0.627,0.252,0.949,0.084,0.684,0.008,0.495,0.076,0.671,-0.005,0.458,-0.088,0.213,-0.021,0.414,-0.045,0.334,0.406,0.998,-0.038,0.359,-0.06,0.297,-0.023,0.409,-0.057,0.315
500,-0.056,0.332,0.159,0.824,0.457,0.999,0.34,0.982,0.12,0.749,-0.002,0.454,0.251,0.935,0.053,0.616,-0.039,0.374,0.062,0.613,-0.048,0.327,-0.094,0.218,-0.008,0.451,-0.051,0.327,0.477,0.998,-0.029,0.408,-0.064,0.296,-0.02,0.418,-0.053,0.333
501,0.006,0.489,0.263,0.957,0.71,1,0.429,0.996,0.252,0.946,0.038,0.573,0.343,0.981,0.177,0.866,-0.01,0.442,0.172,0.856,-0.013,0.438,-0.078,0.272,0.056,0.601,-0.012,0.439,0.664,0.999,0.011,0.488,-0.032,0.389,0.035,0.547,-0.029,0.383
502,0.131,0.792,0.161,0.851,0.521,1,0.355,0.992,0.258,0.953,0.12,0.78,0.24,0.945,0.232,0.946,0.121,0.775,0.242,0.943,0.11,0.747,0.022,0.523,0.101,0.712,0.062,0.633,0.556,1,0.08,0.676,0.059,0.621,0.078,0.669,0.074,0.675
503,0.046,0.59,0.181,0.865,0.498,0.999,0.33,0.987,0.208,0.894,0.066,0.656,0.243,0.949,0.145,0.827,0.041,0.578,0.139,0.816,0.041,0.588,-0.038,0.365,0.07,0.65,0,0.479,0.577,1,0.054,0.624,0,0.467,0.067,0.656,-0.008,0.446
504,-0.052,0.325,0.134,0.831,0.487,0.999,0.333,0.99,0.097,0.743,0.029,0.569,0.233,0.945,0.062,0.649,-0.023,0.405,0.07,0.681,-0.028,0.39,-0.105,0.172,-0.026,0.389,-0.076,0.261,0.475,1,-0.049,0.314,-0.086,0.234,-0.05,0.334,-0.073,0.256
505,-0.046,0.348,0.198,0.907,0.617,1,0.324,0.98,0.195,0.886,-0.01,0.437,0.238,0.945,0.109,0.756,-0.034,0.371,0.129,0.789,-0.052,0.322,-0.119,0.173,-0.005,0.453,-0.095,0.221,0.614,1,-0.024,0.399,-0.107,0.204,-0.049,0.344,-0.071,0.273
506,0.016,0.517,0.199,0.914,0.579,1,0.345,0.999,0.203,0.901,0.047,0.61,0.244,0.945,0.131,0.815,0.016,0.513,0.122,0.775,0.016,0.511,-0.065,0.304,0.028,0.539,-0.006,0.458,0.525,1,0,0.48,-0.017,0.441,0.014,0.518,-0.018,0.418
507,0.033,0.569,0.194,0.873,0.488,1,0.321,0.982,0.187,0.88,0.073,0.67,0.245,0.948,0.13,0.782,0.046,0.606,0.114,0.755,0.026,0.556,-0.037,0.382,0.056,0.622,-0.007,0.453,0.532,1,0.034,0.568,-0.019,0.431,0.035,0.584,-0.005,0.47
508,-0.028,0.418,0.203,0.891,0.488,0.999,0.301,0.974,0.222,0.916,-0.004,0.472,0.226,0.904,0.119,0.743,-0.034,0.389,0.131,0.777,-0.045,0.355,-0.108,0.206,-0.01,0.462,-0.066,0.332,0.515,1,-0.035,0.401,-0.085,0.283,-0.014,0.442,-0.081,0.295
509,0.021,0.52,0.259,0.923,0.485,0.994,0.354,0.976,0.234,0.898,0.077,0.652,0.304,0.964,0.134,0.764,0.025,0.534,0.154,0.798,0.026,0.532,-0.058,0.341,0.044,0.569,0.002,0.489,0.52,0.998,0.018,0.525,-0.026,0.417,0.037,0.572,-0.037,0.396
510,-0.018,0.418,0.205,0.907,0.394,0.997,0.302,0.984,0.219,0.937,0.016,0.522,0.25,0.951,0.112,0.758,-0.023,0.409,0.116,0.767,-0.03,0.391,-0.105,0.209,-0.023,0.408,-0.078,0.243,0.453,0.999,-0.047,0.349,-0.093,0.245,-0.049,0.348,-0.074,0.288
511,-0.027,0.399,0.194,0.883,0.647,1,0.359,0.982,0.173,0.868,-0.001,0.472,0.264,0.954,0.119,0.749,-0.035,0.389,0.113,0.757,-0.032,0.382,-0.127,0.155,-0.017,0.43,-0.069,0.3,0.561,1,-0.039,0.363,-0.081,0.283,-0.014,0.433,-0.08,0.276
512,0.006,0.489,0.161,0.851,0.427,0.998,0.304,0.986,0.199,0.895,0.027,0.541,0.218,0.93,0.137,0.779,-0.001,0.469,0.131,0.789,-0.01,0.444,-0.086,0.252,0.008,0.496,-0.045,0.35,0.485,1,-0.014,0.435,-0.057,0.342,-0.007,0.46,-0.048,0.34
513,-0.003,0.479,0.21,0.86,0.482,0.998,0.346,0.977,0.183,0.815,0.046,0.581,0.285,0.937,0.096,0.676,0.003,0.497,0.115,0.717,-0.004,0.48,-0.068,0.333,0.032,0.564,-0.03,0.423,0.53,1,0.002,0.482,-0.033,0.41,0.03,0.552,-0.035,0.401
514,0.046,0.567,0.201,0.867,0.496,0.999,0.312,0.967,0.207,0.872,0.073,0.618,0.231,0.909,0.137,0.755,0.049,0.573,0.142,0.774,0.039,0.564,-0.017,0.424,0.074,0.606,0.013,0.487,0.512,1,0.047,0.566,0.014,0.501,0.063,0.596,0.014,0.5
515,-0.036,0.365,0.136,0.811,0.4,1,0.263,0.975,0.143,0.841,-0.013,0.43,0.192,0.922,0.072,0.68,-0.044,0.352,0.084,0.698,-0.046,0.341,-0.104,0.216,-0.023,0.395,-0.067,0.279,0.439,1,-0.041,0.346,-0.069,0.287,-0.042,0.354,-0.06,0.298
516,-0.024,0.407,0.276,0.972,0.512,1,0.364,0.995,0.22,0.924,0.026,0.549,0.311,0.976,0.111,0.755,-0.021,0.437,0.106,0.752,-0.03,0.395,-0.125,0.159,-0.033,0.388,-0.083,0.235,0.462,1,-0.052,0.319,-0.085,0.213,-0.037,0.376,-0.073,0.253
517,0.05,0.585,0.223,0.893,0.578,1,0.337,0.977,0.231,0.9,0.077,0.64,0.244,0.922,0.158,0.799,0.042,0.58,0.161,0.789,0.039,0.56,-0.006,0.466,0.099,0.692,-0.003,0.464,0.631,1,0.072,0.659,-0.014,0.447,0.092,0.685,0.004,0.491
518,-0.047,0.348,0.15,0.816,0.431,0.997,0.335,0.975,0.133,0.781,0.015,0.505,0.25,0.949,0.056,0.621,-0.02,0.423,0.062,0.623,-0.024,0.409,-0.108,0.19,-0.021,0.42,-0.06,0.32,0.469,0.998,-0.034,0.379,-0.067,0.295,-0.036,0.361,-0.06,0.307
519,0.033,0.565,0.236,0.913,0.596,1,0.33,0.979,0.239,0.924,0.064,0.618,0.266,0.946,0.162,0.809,0.039,0.575,0.159,0.821,0.034,0.559,-0.046,0.391,0.076,0.659,-0.009,0.462,0.593,1,0.046,0.591,-0.033,0.388,0.058,0.623,-0.013,0.453
520,-0.008,0.439,0.17,0.84,0.571,1,0.314,0.982,0.181,0.865,0.014,0.507,0.219,0.926,0.123,0.783,-0.017,0.414,0.125,0.765,-0.025,0.388,-0.097,0.208,0.011,0.5,-0.057,0.32,0.543,1,-0.014,0.426,-0.055,0.319,0.004,0.471,-0.072,0.275
521,0.058,0.626,0.186,0.862,0.489,0.998,0.355,0.985,0.204,0.884,0.09,0.683,0.263,0.939,0.169,0.826,0.058,0.627,0.174,0.844,0.05,0.597,-0.058,0.314,0.025,0.536,-0.013,0.442,0.52,1,0.005,0.487,-0.013,0.444,0.031,0.541,-0.014,0.446
522,0.01,0.488,0.115,0.79,0.426,1,0.269,0.984,0.139,0.845,0.028,0.564,0.176,0.896,0.101,0.775,0.008,0.494,0.106,0.773,0.003,0.487,-0.075,0.249,-0.007,0.455,-0.041,0.351,0.437,1,-0.017,0.416,-0.042,0.365,-0.009,0.439,-0.03,0.377
523,0.079,0.651,0.183,0.855,0.498,1,0.32,0.976,0.193,0.861,0.09,0.67,0.232,0.921,0.135,0.777,0.066,0.629,0.138,0.772,0.051,0.597,-0.01,0.455,0.085,0.672,0.017,0.518,0.508,1,0.06,0.611,0.008,0.492,0.069,0.639,0.035,0.559
524,0.027,0.548,0.22,0.863,0.601,1,0.323,0.973,0.25,0.886,0.037,0.562,0.251,0.906,0.168,0.813,0.002,0.48,0.168,0.815,0.008,0.493,-0.055,0.364,0.059,0.614,-0.041,0.39,0.596,1,0.039,0.554,-0.032,0.416,0.044,0.589,-0.025,0.424
525,0.062,0.633,0.204,0.862,0.458,0.997,0.321,0.976,0.231,0.905,0.076,0.638,0.252,0.913,0.174,0.81,0.051,0.596,0.17,0.826,0.037,0.558,-0.041,0.387,0.052,0.596,-0.014,0.442,0.528,1,0.036,0.569,-0.015,0.451,0.06,0.611,-0.015,0.448
526,0.028,0.537,0.249,0.892,0.563,1,0.367,0.975,0.243,0.89,0.065,0.614,0.286,0.929,0.139,0.768,0.033,0.544,0.147,0.785,0.009,0.495,-0.055,0.346,0.06,0.608,0,0.479,0.539,0.999,0.012,0.496,-0.013,0.454,0.051,0.578,0.001,0.474
527,0.007,0.504,0.212,0.911,0.536,1,0.391,0.997,0.187,0.91,0.058,0.637,0.298,0.978,0.128,0.791,0.012,0.499,0.126,0.8,0.007,0.491,-0.066,0.284,0.022,0.54,-0.013,0.431,0.521,1,-0.009,0.447,-0.024,0.395,0.012,0.505,-0.019,0.425
528,0.016,0.519,0.213,0.931,0.459,1,0.321,0.991,0.187,0.903,0.05,0.627,0.254,0.963,0.12,0.788,0.016,0.526,0.118,0.794,0.011,0.511,-0.062,0.281,0.029,0.554,-0.036,0.361,0.512,1,0.009,0.501,-0.049,0.331,0.025,0.56,-0.029,0.382
529,0.003,0.482,0.206,0.911,0.468,1,0.344,0.997,0.213,0.898,0.035,0.578,0.275,0.97,0.114,0.77,0.002,0.486,0.118,0.773,0.002,0.485,-0.086,0.238,-0.003,0.473,-0.036,0.372,0.485,1,-0.015,0.424,-0.051,0.335,-0.006,0.458,-0.05,0.34
530,0.062,0.632,0.146,0.829,0.376,0.999,0.277,0.972,0.177,0.88,0.087,0.695,0.186,0.913,0.126,0.764,0.064,0.631,0.137,0.802,0.056,0.621,-0.027,0.395,0.017,0.519,0.025,0.542,0.358,0.994,0.006,0.48,0.015,0.521,0.028,0.552,0.022,0.527
531,-0.007,0.448,0.189,0.902,0.525,1,0.351,0.996,0.23,0.937,0.025,0.54,0.248,0.955,0.137,0.8,-0.012,0.435,0.142,0.814,-0.007,0.448,-0.093,0.245,0.01,0.501,-0.039,0.366,0.534,1,-0.015,0.439,-0.052,0.325,0.009,0.489,-0.054,0.333
532,-0.02,0.421,0.198,0.904,0.4,1,0.297,0.979,0.148,0.858,0.041,0.591,0.237,0.941,0.072,0.666,-0.001,0.475,0.075,0.676,-0.008,0.443,-0.099,0.215,-0.015,0.433,-0.048,0.332,0.458,0.999,-0.03,0.381,-0.066,0.3,-0.03,0.387,-0.043,0.356
533,-0.014,0.445,0.167,0.803,0.491,0.999,0.317,0.961,0.174,0.814,0.047,0.579,0.248,0.916,0.11,0.729,-0.002,0.476,0.108,0.708,-0.007,0.469,-0.091,0.262,0.011,0.502,-0.052,0.347,0.515,1,-0.012,0.451,-0.057,0.344,0.01,0.498,-0.051,0.363
534,0.059,0.63,0.173,0.884,0.436,1,0.294,0.984,0.232,0.935,0.062,0.631,0.208,0.915,0.161,0.851,0.049,0.602,0.169,0.869,0.039,0.569,-0.024,0.429,0.059,0.63,-0.001,0.476,0.473,1,0.03,0.553,0.002,0.477,0.049,0.598,0.016,0.51
535,0.085,0.678,0.256,0.956,0.564,1,0.358,0.999,0.329,0.979,0.076,0.654,0.287,0.974,0.23,0.92,0.07,0.654,0.236,0.947,0.054,0.612,-0.015,0.438,0.098,0.702,0.028,0.551,0.574,1,0.054,0.609,0.008,0.491,0.068,0.66,0.017,0.517
536,0.188,0.829,0.225,0.886,0.567,1,0.431,0.994,0.327,0.961,0.175,0.826,0.311,0.965,0.293,0.949,0.173,0.812,0.302,0.959,0.167,0.814,0.023,0.54,0.099,0.685,0.111,0.725,0.601,1,0.088,0.672,0.104,0.708,0.1,0.71,0.097,0.677
537,0.027,0.535,0.159,0.853,0.525,1,0.362,0.992,0.202,0.911,0.046,0.596,0.253,0.96,0.144,0.807,0.023,0.547,0.152,0.823,0.018,0.532,-0.074,0.295,0.034,0.564,-0.015,0.443,0.535,1,0.003,0.479,-0.035,0.366,0.006,0.476,-0.032,0.387
538,0.034,0.556,0.218,0.877,0.597,1,0.374,0.983,0.213,0.87,0.077,0.634,0.292,0.948,0.147,0.775,0.037,0.559,0.153,0.791,0.03,0.525,-0.037,0.385,0.088,0.676,-0.008,0.471,0.627,1,0.054,0.583,-0.026,0.437,0.048,0.584,0.006,0.486
539,0.06,0.639,0.2,0.922,0.53,1,0.335,0.995,0.223,0.945,0.084,0.7,0.24,0.965,0.153,0.87,0.063,0.638,0.161,0.874,0.058,0.648,-0.025,0.404,0.066,0.653,0.005,0.491,0.547,1,0.041,0.575,0.008,0.483,0.058,0.644,0.009,0.495
540,0.006,0.472,0.232,0.917,0.964,1,0.516,0.997,0.249,0.92,0.055,0.619,0.35,0.973,0.195,0.871,0.013,0.488,0.198,0.874,0.005,0.471,-0.1,0.199,0.058,0.617,-0.02,0.401,0.794,0.999,0.008,0.49,-0.038,0.355,0.031,0.534,-0.033,0.352
541,0.111,0.757,0.201,0.901,0.596,1,0.407,0.998,0.241,0.955,0.126,0.781,0.283,0.97,0.237,0.954,0.103,0.727,0.231,0.931,0.101,0.736,-0.043,0.353,0.04,0.594,0.016,0.509,0.564,1,0.025,0.545,-0.001,0.458,0.034,0.567,0.013,0.493
542,-0.064,0.29,0.156,0.852,0.565,0.999,0.335,0.986,0.128,0.812,-0.016,0.411,0.231,0.938,0.076,0.664,-0.055,0.315,0.062,0.638,-0.067,0.303,-0.123,0.159,-0.019,0.415,-0.08,0.252,0.563,1,-0.051,0.324,-0.082,0.259,-0.048,0.341,-0.056,0.334
543,0.076,0.651,0.275,0.927,0.533,1,0.365,0.977,0.27,0.934,0.098,0.702,0.291,0.949,0.201,0.84,0.069,0.628,0.184,0.831,0.064,0.627,-0.006,0.461,0.109,0.711,0.011,0.502,0.56,0.999,0.082,0.659,0.019,0.507,0.089,0.663,0.019,0.519
544,-0.016,0.433,0.174,0.856,0.458,0.996,0.301,0.974,0.133,0.791,0.03,0.543,0.228,0.932,0.09,0.703,-0.005,0.441,0.087,0.712,-0.01,0.441,-0.088,0.243,-0.007,0.443,-0.055,0.318,0.474,0.998,-0.016,0.435,-0.072,0.267,-0.014,0.432,-0.065,0.288
545,0.053,0.612,0.196,0.899,0.537,1,0.331,0.983,0.214,0.927,0.05,0.607,0.235,0.946,0.157,0.834,0.051,0.602,0.159,0.82,0.038,0.583,-0.022,0.413,0.074,0.685,0.025,0.54,0.556,1,0.043,0.601,0.01,0.504,0.056,0.624,0.03,0.553
546,-0.044,0.358,0.18,0.853,0.346,0.986,0.341,0.979,0.116,0.714,0.033,0.549,0.272,0.955,0.046,0.585,-0.025,0.41,0.052,0.589,-0.041,0.367,-0.102,0.214,-0.045,0.371,-0.056,0.324,0.418,0.997,-0.043,0.361,-0.065,0.313,-0.041,0.361,-0.069,0.305
547,-0.043,0.364,0.273,0.962,0.455,1,0.376,0.997,0.226,0.917,0.028,0.556,0.33,0.985,0.106,0.724,-0.027,0.389,0.103,0.725,-0.051,0.349,-0.136,0.148,-0.038,0.382,-0.079,0.282,0.465,1,-0.069,0.293,-0.086,0.248,-0.057,0.324,-0.074,0.273
548,0.09,0.694,0.251,0.935,0.512,0.999,0.35,0.986,0.272,0.967,0.091,0.689,0.27,0.96,0.206,0.888,0.076,0.669,0.211,0.905,0.075,0.669,-0.005,0.466,0.067,0.657,0.033,0.571,0.519,1,0.051,0.613,0.024,0.546,0.074,0.656,0.032,0.556
549,0.03,0.553,0.227,0.881,0.525,0.999,0.351,0.985,0.203,0.878,0.068,0.627,0.266,0.936,0.146,0.783,0.01,0.514,0.154,0.803,0.026,0.535,-0.055,0.367,0.057,0.623,-0.041,0.393,0.566,1,0.032,0.545,-0.039,0.386,0.048,0.595,-0.035,0.413
550,-0.053,0.336,0.16,0.837,0.411,0.999,0.254,0.954,0.123,0.773,0.007,0.494,0.199,0.875,0.034,0.566,-0.041,0.361,0.04,0.58,-0.046,0.343,-0.112,0.225,-0.037,0.384,-0.08,0.28,0.436,0.998,-0.045,0.369,-0.076,0.293,-0.038,0.369,-0.057,0.324
551,-0.049,0.357,0.124,0.787,0.415,1,0.279,0.966,0.143,0.828,-0.003,0.482,0.192,0.897,0.073,0.672,-0.048,0.363,0.079,0.669,-0.05,0.347,-0.127,0.152,-0.042,0.358,-0.081,0.26,0.41,0.995,-0.055,0.322,-0.1,0.239,-0.056,0.343,-0.086,0.262
552,0.024,0.531,0.19,0.927,0.406,0.999,0.337,0.99,0.196,0.917,0.064,0.665,0.262,0.963,0.136,0.813,0.023,0.531,0.131,0.814,0.022,0.528,-0.089,0.204,-0.018,0.423,-0.025,0.381,0.425,1,-0.043,0.349,-0.043,0.342,-0.031,0.369,-0.029,0.369
553,-0.027,0.396,0.154,0.803,0.53,1,0.298,0.98,0.15,0.82,0.004,0.494,0.204,0.906,0.096,0.728,-0.017,0.415,0.094,0.706,-0.025,0.412,-0.103,0.21,0,0.48,-0.058,0.329,0.528,0.998,-0.027,0.392,-0.079,0.27,-0.018,0.431,-0.05,0.342
554,0.028,0.552,0.218,0.917,0.54,1,0.342,0.989,0.259,0.948,0.045,0.584,0.262,0.96,0.174,0.874,0.029,0.544,0.175,0.856,0.014,0.512,-0.072,0.306,0.028,0.542,-0.022,0.417,0.555,1,0.012,0.512,-0.043,0.36,0.022,0.524,-0.028,0.399
555,0.017,0.509,0.179,0.848,0.394,0.999,0.292,0.957,0.193,0.866,0.035,0.57,0.219,0.898,0.121,0.739,0.011,0.502,0.125,0.761,0.004,0.488,-0.053,0.348,0.015,0.51,-0.028,0.407,0.44,0.995,0.003,0.48,-0.03,0.41,0.017,0.515,-0.042,0.376
556,0.003,0.487,0.223,0.92,0.469,1,0.328,0.98,0.186,0.88,0.047,0.599,0.268,0.959,0.118,0.755,0.014,0.529,0.116,0.769,0.001,0.476,-0.068,0.316,0.034,0.578,-0.037,0.385,0.505,0.999,0.007,0.498,-0.047,0.339,0.023,0.531,-0.044,0.365
557,0.036,0.55,0.231,0.91,0.559,1,0.379,0.993,0.194,0.892,0.103,0.705,0.294,0.967,0.155,0.802,0.048,0.598,0.163,0.819,0.049,0.6,-0.044,0.353,0.055,0.617,0.017,0.515,0.577,1,0.031,0.55,-0.005,0.463,0.05,0.605,0.008,0.499
