"","ModMeanVal","ModMinVal","ModMaxVal","Age","AncVal","MCCAbsRateMean","MCCAbsRateMin","MCCAbsRateMax","MeanAbsRate_Mean","MeanLower95Rate","MeanUpper95Rate","MinAbsRate_Mean","MinLower95Rate","MinUpper95Rate","MaxAbsRate_Mean","MaxLower95Rate","MaxUpper95Rate"
"A_97.5_29",34.9833335876465,33.8,38.5333343505859,25.949119321,30.7468693227654,0.163260425622717,0.117658354392159,0.300066639314388,0.134721591153966,0.0382140743023147,0.237678878232675,0.0842387275739586,0.000486268484506292,0.165880639698393,0.287991481357736,0.128208885724045,0.463387764271935
"A_97.5_30",33.5750007629394,31.1,37.8333343505859,12.920922647,33.4700905691246,0.00811940421601421,0.183430443310861,0.337688251889226,0.0166151929451572,4.17072717119407e-05,0.0442656122975693,0.204171249873834,0.0834461510156851,0.353280595992089,0.395805071168176,0.176796920285433,0.700558114064904
"A_97.5_31",28.7333343505859,28.7333343505859,28.7333343505859,29.314028561,32.5373857355531,0.129768973140327,0.129768973140327,0.129768973140327,0.128664620127268,0.0371784167072939,0.245650140378606,0.128664620127268,0.0371784167072939,0.245650140378606,0.128664620127268,0.0371784167072939,0.245650140378606
"A_97.5_32",33.1333335876464,24.933332824707,41.3333343505859,18.461069059,36.155365621785,0.163697564018665,0.60787556566813,0.280480437630806,0.150200013171751,0.00335173696861599,0.300986600623128,0.579643163450082,0.173975686115203,1.05333477759532,0.281232441873643,0.131573194886481,0.466972733386617
"A_97.5_33",41.3333343505859,41.3333343505859,41.3333343505859,14.400989237,38.3637158986768,0.206209337639069,0.206209337639069,0.206209337639069,0.240455025664806,0.0847803415414012,0.419027813579964,0.240455025664806,0.0847803415414012,0.419027813579964,0.240455025664806,0.0847803415414012,0.419027813579964
"A_97.5_35",26.4666656494141,26.4666656494141,26.4666656494141,23.671149091,27.6686387120995,0.0507779769399694,0.0507779769399692,0.0507779769399692,0.0463376003015349,7.00492716272104e-05,0.122507705689147,0.0463376003015348,7.00492716273191e-05,0.122507705689147,0.0463376003015348,7.00492716273191e-05,0.122507705689147
"A_97.5_37",40.0666656494141,40.0666656494141,40.0666656494141,9.21097678999999,33.5583593006264,0.706581559933305,0.706581559933305,0.706581559933305,0.855534960874955,0.210357998761901,1.7558523280816,0.855534960874956,0.210357998761901,1.7558523280816,0.855534960874956,0.210357998761901,1.7558523280816
"A_97.5_38",4.1,4.1,4.1,21.814727142,25.2992720414356,0.971787174024308,0.971787174024308,0.971787174024308,1.0477786346087,0.438504338856408,1.74968144591888,1.0477786346087,0.438504338856408,1.74968144591888,1.0477786346087,0.438504338856408,1.74968144591888
"A_97.5_39",25.9666656494141,25.9666656494141,25.9666656494141,9.21097678999999,33.5583593006264,0.824200714462158,0.824200714462157,0.824200714462157,0.948785222008165,0.252676115816538,1.93621758723239,0.948785222008164,0.252676115816538,1.93621758723239,0.948785222008164,0.252676115816538,1.93621758723239
"A_97.5_40",41.0333343505859,41.0333343505859,41.0333343505859,21.814727142,25.2992720414356,0.721258726122568,0.721258726122568,0.721258726122568,0.80151941290337,0.30035462814674,1.51392027345458,0.801519412903369,0.30035462814674,1.51392027345458,0.801519412903369,0.30035462814674,1.51392027345458
"A_97.5_43",38.8,38.8,38.8,21.25149071,32.9228070008304,0.276554387613105,0.276554387613105,0.276554387613105,0.290757780956226,0.152755169669258,0.469527098206003,0.290757780956226,0.152755169669258,0.469527098206003,0.290757780956226,0.152755169669258,0.469527098206003
"A_97.5_46",33.6333343505859,33.6333343505859,33.6333343505859,17.780809054,33.4043904047246,0.0128759014939107,0.0128759014939107,0.0128759014939107,0.0177970142759087,2.32141210802563e-05,0.0366662905623411,0.0177970142759087,2.32141210802563e-05,0.0366662905623411,0.0177970142759087,2.32141210802563e-05,0.0366662905623411
"A_97.5_47",33.2666656494141,33.2666656494141,33.2666656494141,50.58225703,29.4010281480474,0.0764227958249087,0.0764227958249087,0.0764227958249087,0.0878877546213496,0.0396049455495099,0.143040001426405,0.0878877546213496,0.0396049455495099,0.143040001426405,0.0878877546213496,0.0396049455495099,0.143040001426405
"A_97.5_48",33.6333343505859,33.6333343505859,33.6333343505859,12.70249145,34.1772674996136,0.042820981314474,0.042820981314474,0.042820981314474,0.0565536932604438,5.85430171856197e-05,0.155282000809806,0.0565536932604438,5.85430171856197e-05,0.155282000809806,0.0565536932604438,5.85430171856197e-05,0.155282000809806
"A_97.5_49",28.7333343505859,28.7333343505859,28.7333343505859,14.701264098,29.1477576293363,0.0281896356658739,0.0281896356658739,0.0281896356658739,0.0491966357599168,6.07821369407672e-05,0.143974998879576,0.0491966357599168,6.07821369407672e-05,0.143974998879576,0.0491966357599168,6.07821369407672e-05,0.143974998879576
"A_97.5_62",40.5333343505859,40.5333343505859,40.5333343505859,18.461069059,36.155365621785,0.237146002477389,0.237146002477388,0.237146002477388,0.225838416472429,0.107902759151763,0.389215267920497,0.225838416472428,0.107902759151763,0.389215267920497,0.225838416472428,0.107902759151763,0.389215267920497
"A_97.5_64",26.4333343505859,26.4333343505859,26.4333343505859,32.14425534,30.1275557174861,0.114926332180519,0.114926332180519,0.114926332180519,0.100607492993436,0.000211147742497253,0.203675247224637,0.100607492993436,0.000211147742497253,0.203675247224637,0.100607492993436,0.000211147742497253,0.203675247224637
"A_97.5_65",33.7,33.7,33.7,25.949119321,30.7468693227654,0.113804659060037,0.113804659060037,0.113804659060037,0.0804386765587136,5.9349838927155e-05,0.162330957982399,0.0804386765587136,5.9349838927155e-05,0.162330957982399,0.0804386765587136,5.9349838927155e-05,0.162330957982399
"A_97.5_68",33.8333343505859,33.8333343505859,33.8333343505859,15.055991361,33.5183878033933,0.0209183533412761,0.0209183533412761,0.0209183533412761,0.0282526049595389,0.0111620365979698,0.047900426319467,0.0282526049595389,0.0111620365979698,0.047900426319467,0.0282526049595389,0.0111620365979698,0.047900426319467
"A_97.5_70",33.8333343505859,33.8333343505859,33.8333343505859,15.055991361,33.5183878033933,0.0209183533412761,0.0209183533412761,0.0209183533412761,0.0278700804389942,0.0111606695269941,0.0465840938014762,0.0278700804389942,0.0111606695269941,0.0465840938014762,0.0278700804389942,0.0111606695269941,0.0465840938014762
"A_97.5_72",-0.966666698455811,-0.966666698455811,-0.966666698455811,41.152354061,23.5683897479373,0.596200557810736,0.596200557810736,0.596200557810736,0.626276881026124,0.332891907456303,0.990141892843283,0.626276881026124,0.332891907456303,0.990141892843283,0.626276881026124,0.332891907456303,0.990141892843283
"I_97.5_1",29.7333334003795,5.06666679382324,41.3333343505859,11.389449832,22.2251257904647,0.659224784398239,1.50652219815156,1.67771128912956,0.767971962429835,0.167480055868995,1.70088907413365,1.72138467010552,0.614376864926002,3.15331900486094,1.93864247755884,0.545574145289268,3.92623440140556
"I_97.5_2",24,24,24,52.56893601,29.7512605663033,0.109404165327015,0.109404165327015,0.109404165327015,0.118724196098454,0.0636883152526075,0.186092754952041,0.118724196098454,0.0636883152526075,0.186092754952041,0.118724196098454,0.0636883152526075,0.186092754952041
